datetime,recordid,login,department,location,ClientIP,clientpublicIP,serverip,requestmethod,requestsize,responsesize,transactionsize,url,refererURL,host,urlcategory,urlsupercategory,urlclass,action,reason,respcode,useragent,threatname,threatcategory,threatclass,appname,appclass,pagerisk,filetype,dlpengine,dlpdictionaries,contenttype,proto,devicehostname,deviceowner,totaltime,cachehit
2024-03-14 08:33:47,4389,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.190,93.184.106.43,GET,1226,45403,46629,https://docs.google.com/api/v2/items,,docs.google.com,Web Based Productivity,Business,Business Use,Allowed,Not Found,404,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,OKAFOR-LT-30,j.okafor,61,TCP_MISS
2024-03-14 08:33:57,4472,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.73,93.184.39.212,GET,2258,17539,19797,https://github.com/,,github.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,KIM-LT-33,d.kim,9,TCP_HIT
2024-03-14 08:38:03,4419,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.20,93.184.66.47,GET,1806,27906,29712,https://aws.amazon.com/assets/app.js,,aws.amazon.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,KIM-LT-20,d.kim,5,TCP_HIT
2024-03-14 08:38:39,4378,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.179,93.184.95.79,GET,944,19317,20261,https://salesforce.com/search,,salesforce.com,Business Applications,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,OKAFOR-LT-19,j.okafor,130,TCP_MISS
2024-03-14 08:39:55,4427,m.chen,Finance,HQ-SanFrancisco,10.12.7.88,198.51.100.28,93.184.112.181,GET,1124,71905,73029,https://github.com/api/v2/items,,github.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,CHEN-LT-28,m.chen,12,TCP_HIT
2024-03-14 08:42:16,4740,m.chen,Finance,HQ-SanFrancisco,10.12.7.88,198.51.100.141,93.184.164.86,GET,1312,68417,69729,https://docs.google.com/,,docs.google.com,Web Based Productivity,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,CHEN-LT-21,m.chen,4,TCP_HIT
2024-03-14 08:42:39,4640,s.patel,Marketing,HQ-SanFrancisco,10.12.4.102,198.51.100.41,93.184.144.143,GET,1453,64456,65909,https://docs.google.com/,,docs.google.com,Web Based Productivity,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,PATEL-LT-01,s.patel,156,TCP_MISS
2024-03-14 08:45:51,4693,s.patel,Marketing,HQ-SanFrancisco,10.12.4.102,198.51.100.94,93.184.175.132,GET,2168,77088,79256,https://news.ycombinator.com/api/v2/items,,news.ycombinator.com,News and Media,News,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,PATEL-LT-14,s.patel,9,TCP_HIT
2024-03-14 08:46:53,4450,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.51,93.184.200.202,GET,1764,89027,90791,https://stackoverflow.com/search,,stackoverflow.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,OKAFOR-LT-11,j.okafor,156,TCP_MISS
2024-03-14 08:49:06,4505,l.novak,HR,HQ-SanFrancisco,10.12.9.14,198.51.100.106,93.184.221.172,GET,2298,5767,8065,https://stackoverflow.com/,,stackoverflow.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,NOVAK-LT-26,l.novak,46,TCP_MISS
2024-03-14 08:52:57,4572,s.patel,Marketing,HQ-SanFrancisco,10.12.4.102,198.51.100.173,93.184.73.121,GET,355,8764,9119,https://stackoverflow.com/assets/app.js,,stackoverflow.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,PATEL-LT-13,s.patel,138,TCP_MISS
2024-03-14 08:57:46,4668,a.rivera,Engineering,HQ-SanFrancisco,10.12.4.31,198.51.100.69,93.184.64.109,GET,1846,33122,34968,https://stackoverflow.com/api/v2/items,,stackoverflow.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,RIVERA-LT-29,a.rivera,31,TCP_MISS
2024-03-14 08:58:20,4490,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.91,93.184.57.39,GET,1673,69204,70877,https://news.ycombinator.com/,,news.ycombinator.com,News and Media,News,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,OKAFOR-LT-11,j.okafor,5,TCP_HIT
2024-03-14 08:59:35,4664,s.patel,Marketing,HQ-SanFrancisco,10.12.4.102,198.51.100.65,93.184.199.91,GET,889,71619,72508,https://docs.google.com/search,,docs.google.com,Web Based Productivity,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,PATEL-LT-25,s.patel,2,TCP_HIT
2024-03-14 08:59:59,4769,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.170,93.184.220.100,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-10,j.okafor,8,TCP_HIT
2024-03-14 09:01:00,4770,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.171,93.184.4.200,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-11,j.okafor,5,TCP_HIT
2024-03-14 09:01:59,4771,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.172,93.184.97.40,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-12,j.okafor,4,TCP_HIT
2024-03-14 09:03:01,4772,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.173,93.184.152.98,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-13,j.okafor,5,TCP_HIT
2024-03-14 09:03:50,4425,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.26,93.184.58.132,GET,2427,35448,37875,https://news.ycombinator.com/,,news.ycombinator.com,News and Media,News,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,OKAFOR-LT-26,j.okafor,82,TCP_MISS
2024-03-14 09:04:01,4773,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.174,93.184.40.166,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-14,j.okafor,11,TCP_HIT
2024-03-14 09:05:00,4774,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.175,93.184.149.47,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-15,j.okafor,63,TCP_MISS
2024-03-14 09:06:00,4775,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.176,93.184.71.247,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-16,j.okafor,45,TCP_MISS
2024-03-14 09:06:46,4501,d.kim,Sales,HQ-SanFrancisco,10.12.7.23,198.51.100.102,93.184.190.38,GET,994,70517,71511,https://aws.amazon.com/api/v2/items,,aws.amazon.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,KIM-LT-22,d.kim,18,TCP_MISS
2024-03-14 09:07:01,4776,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.177,93.184.211.112,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-17,j.okafor,23,TCP_MISS
2024-03-14 09:07:12,4766,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.167,93.184.249.250,GET,1696,51239,52935,https://stackoverflow.com/search,,stackoverflow.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,OKAFOR-LT-07,j.okafor,4,TCP_HIT
2024-03-14 09:07:59,4777,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.178,93.184.147.188,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-18,j.okafor,31,TCP_MISS
2024-03-14 09:09:01,4778,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.179,93.184.79.193,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-19,j.okafor,3,TCP_HIT
2024-03-14 09:10:01,4779,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.180,93.184.161.44,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-20,j.okafor,27,TCP_MISS
2024-03-14 09:10:57,4563,s.patel,Marketing,HQ-SanFrancisco,10.12.4.102,198.51.100.164,93.184.69.241,GET,1473,2846,4319,https://slack.com/assets/app.js,,slack.com,Instant Messaging,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,PATEL-LT-04,s.patel,26,TCP_MISS
2024-03-14 09:11:00,4780,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.181,93.184.74.142,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-21,j.okafor,103,TCP_MISS
2024-03-14 09:12:00,4781,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.182,93.184.26.177,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-22,j.okafor,5,TCP_HIT
2024-03-14 09:13:00,4782,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.183,93.184.54.204,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-23,j.okafor,6,TCP_HIT
2024-03-14 09:13:39,4605,m.chen,Finance,HQ-SanFrancisco,10.12.7.88,198.51.100.6,93.184.241.61,GET,1427,87615,89042,https://slack.com/api/v2/items,,slack.com,Instant Messaging,Business,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,CHEN-LT-06,m.chen,48,TCP_MISS
2024-03-14 09:14:01,4783,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.184,93.184.97.100,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-24,j.okafor,20,TCP_MISS
2024-03-14 09:15:00,4784,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.185,93.184.216.103,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-25,j.okafor,105,TCP_MISS
2024-03-14 09:16:01,4785,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.186,93.184.134.99,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-26,j.okafor,59,TCP_MISS
2024-03-14 09:17:01,4786,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.187,93.184.52.233,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-27,j.okafor,46,TCP_MISS
2024-03-14 09:18:01,4787,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.188,93.184.40.112,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-28,j.okafor,181,TCP_MISS
2024-03-14 09:19:01,4788,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.189,93.184.19.245,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-29,j.okafor,8,TCP_HIT
2024-03-14 09:20:01,4789,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.190,93.184.247.47,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-30,j.okafor,8,TCP_HIT
2024-03-14 09:21:01,4790,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.191,93.184.164.6,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-31,j.okafor,81,TCP_MISS
2024-03-14 09:21:59,4791,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.192,93.184.134.18,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-32,j.okafor,68,TCP_MISS
2024-03-14 09:22:49,4567,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.168,93.184.98.129,GET,561,33016,33577,https://stackoverflow.com/search,,stackoverflow.com,Professional Services,Information Technology,Business Use,Allowed,Allowed,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,OKAFOR-LT-08,j.okafor,12,TCP_MISS
2024-03-14 09:23:00,4792,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.193,93.184.108.249,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-33,j.okafor,111,TCP_MISS
2024-03-14 09:23:31,4711,l.novak,HR,HQ-SanFrancisco,10.12.9.14,198.51.100.112,93.184.70.220,GET,2460,67618,70078,https://salesforce.com/api/v2/items,,salesforce.com,Business Applications,Business,Business Use,Allowed,Not Found,404,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",,None,None,General Browsing,General Browsing,0,None,None,None,text/html,HTTPS,NOVAK-LT-32,l.novak,43,TCP_MISS
2024-03-14 09:24:00,4793,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.194,93.184.24.102,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-34,j.okafor,47,TCP_MISS
2024-03-14 09:25:00,4794,j.okafor,Engineering,HQ-SanFrancisco,10.12.4.55,198.51.100.195,93.184.206.165,GET,412,138,550,https://cdn-telemetry-sync.net/v1/ping,,cdn-telemetry-sync.net,Uncategorized,Uncategorized,Business Use,Allowed,Allowed,200,curl/8.4.0,,None,None,General Browsing,General Browsing,40,None,None,None,text/html,HTTPS,OKAFOR-LT-35,j.okafor,6,TCP_HIT
