cip	user	dept	httpmethod	requesturl	hostname	statuscode	eventtime	sentbytes	receivedbytes	category	policyaction	blockreason	timetaken	tcpstatus	useragentheader	malwarename
10.12.4.31	a.rivera	Engineering	GET	https://linkedin.com/assets/app.js	linkedin.com	200	2024-03-14T09:00:02Z	2248	81062	Social Networking	Allowed	Allowed	14	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://outlook.office365.com/api/v2/items	outlook.office365.com	200	2024-03-14T09:04:53Z	2155	67978	Webmail	Allowed	Allowed	75	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.102	s.patel	Marketing	GET	https://slack.com/assets/app.js	slack.com	200	2024-03-14T09:08:45Z	2052	2812	Instant Messaging	Allowed	Allowed	52	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://salesforce.com/search	salesforce.com	200	2024-03-14T09:11:36Z	2062	40785	Business Applications	Allowed	Allowed	154	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://github.com/assets/app.js	github.com	200	2024-03-14T09:12:14Z	2138	37443	Professional Services	Allowed	Allowed	80	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://slack.com/assets/app.js	slack.com	200	2024-03-14T09:18:25Z	1764	64237	Instant Messaging	Allowed	Allowed	120	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://aws.amazon.com/api/v2/items	aws.amazon.com	200	2024-03-14T09:19:56Z	2084	43500	Professional Services	Allowed	Allowed	34	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://linkedin.com/api/v2/items	linkedin.com	200	2024-03-14T09:20:39Z	839	47377	Social Networking	Allowed	Allowed	73	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://github.com/search	github.com	200	2024-03-14T09:26:47Z	1834	11245	Professional Services	Allowed	Allowed	52	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://outlook.office365.com/assets/app.js	outlook.office365.com	200	2024-03-14T09:31:31Z	1772	13426	Webmail	Allowed	Allowed	66	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://news.ycombinator.com/	news.ycombinator.com	200	2024-03-14T09:42:14Z	901	43889	News and Media	Allowed	Allowed	171	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://stackoverflow.com/assets/app.js	stackoverflow.com	200	2024-03-14T09:47:03Z	1319	24793	Professional Services	Allowed	Allowed	7	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://salesforce.com/	salesforce.com	200	2024-03-14T09:47:59Z	1728	50246	Business Applications	Allowed	Allowed	19	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://stackoverflow.com/	stackoverflow.com	200	2024-03-14T09:48:50Z	1582	43754	Professional Services	Allowed	Allowed	3	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://github.com/assets/app.js	github.com	200	2024-03-14T09:49:49Z	2140	83097	Professional Services	Allowed	Allowed	39	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://news.ycombinator.com/	news.ycombinator.com	200	2024-03-14T09:51:11Z	2090	51616	News and Media	Allowed	Allowed	12	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://outlook.office365.com/search	outlook.office365.com	200	2024-03-14T10:04:56Z	577	41299	Webmail	Allowed	Allowed	5	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://docs.google.com/search	docs.google.com	200	2024-03-14T10:05:55Z	680	73070	Web Based Productivity	Allowed	Allowed	7	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://docs.google.com/search	docs.google.com	200	2024-03-14T10:07:36Z	1969	65621	Web Based Productivity	Allowed	Allowed	65	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://docs.google.com/	docs.google.com	200	2024-03-14T10:11:56Z	1869	42689	Web Based Productivity	Allowed	Allowed	34	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://salesforce.com/search	salesforce.com	200	2024-03-14T10:15:51Z	2181	22782	Business Applications	Allowed	Allowed	4	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://stackoverflow.com/api/v2/items	stackoverflow.com	200	2024-03-14T10:18:07Z	399	14384	Professional Services	Allowed	Allowed	158	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://docs.google.com/api/v2/items	docs.google.com	200	2024-03-14T10:18:14Z	803	14276	Web Based Productivity	Allowed	Allowed	20	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://stackoverflow.com/assets/app.js	stackoverflow.com	200	2024-03-14T10:20:16Z	1024	47939	Professional Services	Allowed	Allowed	22	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://outlook.office365.com/	outlook.office365.com	200	2024-03-14T10:20:27Z	1123	74605	Webmail	Allowed	Allowed	97	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
### NSS feed reconnected: 3 records dropped upstream ###
10.12.7.88	m.chen	Finance	GET	https://aws.amazon.com/	aws.amazon.com	200	2024-03-14T10:21:13Z	2382	22855	Professional Services	Allowed	Allowed	21	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://linkedin.com/	linkedin.com	200	2024-03-14T10:23:56Z	2464	68852	Social Networking	Allowed	Allowed	116	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://linkedin.com/assets/app.js	linkedin.com	200	2024-03-14T10:23:58Z	2315	15307	Social Networking	Allowed	Allowed	39	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://outlook.office365.com/	outlook.office365.com	200	2024-03-14T10:28:34Z	586	43055	Webmail	Allowed	Allowed	54	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://salesforce.com/assets/app.js	salesforce.com	200	2024-03-14T10:28:45Z	1459	56233	Business Applications	Allowed	Allowed	16	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.102	s.patel	Marketing	GET	https://aws.amazon.com/search	aws.amazon.com	200	2024-03-14T10:30:49Z	1880	25924	Professional Services	Allowed	Allowed	70	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://news.ycombinator.com/	news.ycombinator.com	200	2024-03-14T10:34:40Z	666	84737	News and Media	Allowed	Allowed	121	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://outlook.office365.com/api/v2/items	outlook.office365.com	200	2024-03-14T10:37:36Z	1445	81175	Webmail	Allowed	Allowed	57	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.102	s.patel	Marketing	GET	https://linkedin.com/api/v2/items	linkedin.com	200	2024-03-14T10:38:12Z	2051	57929	Social Networking	Allowed	Allowed	155	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://stackoverflow.com/search	stackoverflow.com	200	2024-03-14T10:40:10Z	1744	68899	Professional Services	Allowed	Allowed	92	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://github.com/api/v2/items	github.com	200	2024-03-14T10:41:04Z	2238	42089	Professional Services	Allowed	Allowed	49	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://salesforce.com/assets/app.js	salesforce.com	200	2024-03-14T10:41:53Z	2412	21607	Business Applications	Allowed	Allowed	4	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://stackoverflow.com/api/v2/items	stackoverflow.com	200	2024-03-14T10:43:09Z	2063	81911	Professional Services	Allowed	Allowed	36	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://aws.amazon.com/	aws.amazon.com	200	2024-03-14T10:44:27Z	2390	16691	Professional Services	Allowed	Allowed	64	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://github.com/	github.com	200	2024-03-14T10:45:22Z	1055	16481	Professional Services	Allowed	Allowed	6	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://linkedin.com/api/v2/items	linkedin.com	200	2024-03-14T10:47:37Z	2238	51179	Social Networking	Allowed	Allowed	58	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://slack.com/search	slack.com	200	2024-03-14T10:47:52Z	2261	68295	Instant Messaging	Allowed	Allowed	25	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.102	s.patel	Marketing	GET	https://outlook.office365.com/	outlook.office365.com	200	2024-03-14T10:48:14Z	1851	39625	Webmail	Allowed	Allowed	55	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://docs.google.com/	docs.google.com	200	2024-03-14T10:50:45Z	608	19279	Web Based Productivity	Allowed	Allowed	74	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://slack.com/assets/app.js	slack.com	200	2024-03-14T10:51:12Z	1222	65603	Instant Messaging	Allowed	Allowed	99	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://github.com/search	github.com	200	2024-03-14T10:52:45Z	904	44119	Professional Services	Allowed	Allowed	30	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://slack.com/api/v2/items	slack.com	200	2024-03-14T10:55:11Z	590	8217	Instant Messaging	Allowed	Allowed	50	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://aws.amazon.com/assets/app.js	aws.amazon.com	200	2024-03-14T11:06:12Z	1647	16292	Professional Services	Allowed	Allowed	45	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://aws.amazon.com/	aws.amazon.com	200	2024-03-14T11:06:17Z	1247	17569	Professional Services	Allowed	Allowed	126	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://linkedin.com/assets/app.js	linkedin.com	200	2024-03-14T11:09:34Z	602	16791	Social Networking	Allowed	Allowed	15	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://docs.google.com/	docs.google.com	200	2024-03-14T11:16:41Z	2158	63513	Web Based Productivity	Allowed	Allowed	19	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://github.com/api/v2/items	github.com	200	2024-03-14T11:16:53Z	1355	6598	Professional Services	Allowed	Allowed	16	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://linkedin.com/api/v2/items	linkedin.com	200	2024-03-14T11:17:08Z	2189	29300	Social Networking	Allowed	Allowed	75	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://github.com/assets/app.js	github.com	200	2024-03-14T11:17:23Z	2209	63449	Professional Services	Allowed	Allowed	48	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://aws.amazon.com/search	aws.amazon.com	200	2024-03-14T11:19:50Z	1151	32856	Professional Services	Allowed	Allowed	191	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://stackoverflow.com/	stackoverflow.com	200	2024-03-14T11:20:18Z	1534	44514	Professional Services	Allowed	Allowed	30	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.9.14	l.novak	HR	GET	https://stackoverflow.com/api/v2/items	stackoverflow.com	200	2024-03-14T11:22:35Z	331	72354	Professional Services	Allowed	Allowed	26	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://stackoverflow.com/assets/app.js	stackoverflow.com	200	2024-03-14T11:22:49Z	1587	38975	Professional Services	Allowed	Allowed	3	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://news.ycombinator.com/search	news.ycombinator.com	404	2024-03-14T11:26:17Z	2128	44780	News and Media	Allowed	Not Found	82	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.102	s.patel	Marketing	GET	https://news.ycombinator.com/api/v2/items	news.ycombinator.com	200	2024-03-14T11:26:30Z	715	59117	News and Media	Allowed	Allowed	18	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.31	a.rivera	Engineering	GET	https://slack.com/	slack.com	404	2024-03-14T11:26:52Z	1387	2915	Instant Messaging	Allowed	Not Found	16	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://linkedin.com/api/v2/items	linkedin.com	200	2024-03-14T11:26:55Z	2261	55213	Social Networking	Allowed	Allowed	47	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.102	s.patel	Marketing	GET	https://outlook.office365.com/	outlook.office365.com	200	2024-03-14T11:27:16Z	1228	57177	Webmail	Allowed	Allowed	116	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.102	s.patel	Marketing	GET	https://docs.google.com/api/v2/items	docs.google.com	200	2024-03-14T11:27:20Z	1704	2460	Web Based Productivity	Allowed	Allowed	4	TCP_HIT	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.4.55	j.okafor	Engineering	GET	https://github.com/	github.com	200	2024-03-14T11:27:45Z	756	24210	Professional Services	Allowed	Allowed	44	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.88	m.chen	Finance	GET	https://aws.amazon.com/assets/app.js	aws.amazon.com	200	2024-03-14T11:29:09Z	1706	37565	Professional Services	Allowed	Allowed	36	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://linkedin.com/	linkedin.com	200	2024-03-14T11:32:29Z	1404	86806	Social Networking	Allowed	Allowed	52	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
10.12.7.23	d.kim	Sales	GET	https://docs.google.com/api/v2/items	docs.google.com	200	2024-03-14T11:34:31Z	2033	38198	Web Based Productivity	Allowed	Allowed	35	TCP_MISS	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	
